;on_wind;grid;PEM input;Compressor;hydrogen_storage;Curtailment
139;19.52;-0.0;-17.68;-1.84;-3.59;-0.0
140;20.35;-0.0;-18.43;-1.92;-4.03;-0.0
141;21.84;-0.0;-19.79;-2.06;-4.81;-0.0
142;21.72;-0.0;-19.68;-2.05;-4.75;-0.0
143;22.8;-0.0;-20.65;-2.15;-5.31;-0.0
144;24.11;-0.0;-21.84;-2.27;-6.0;-0.0
145;25.54;-0.0;-23.14;-2.41;-6.75;-0.0
146;24.65;-0.0;-22.33;-2.32;-6.28;-0.0
147;23.16;-0.0;-20.97;-2.18;-5.5;-0.0
148;21.25;-0.0;-19.24;-2.0;-4.5;-0.0
149;21.42;-0.0;-19.41;-2.02;-1.26;-0.0
150;23.33;-0.0;-21.14;-2.2;-2.26;-0.0
151;22.74;-0.0;-20.6;-2.14;-1.95;-0.0
152;21.42;-0.0;-19.41;-2.02;-1.26;-0.0
153;19.34;-0.0;-17.51;-1.82;-0.16;-0.0
154;18.32;-0.0;-16.6;-1.73;0.37;-0.0
155;17.55;-0.0;-15.89;-1.65;0.78;-0.0
156;18.86;-0.0;-17.08;-1.78;0.09;-0.0
157;22.8;-0.0;-20.65;-2.15;-1.98;-0.0
158;25.54;-0.0;-23.14;-2.41;-3.42;-0.24
159;25.54;-0.0;-23.14;-2.41;-3.42;-3.34
160;25.54;-0.0;-23.14;-2.41;-3.42;-5.79
161;25.54;-0.0;-23.14;-2.41;-3.42;-5.85
162;25.54;-0.0;-23.14;-2.41;-3.42;-6.92
163;-0.0;-0.0;0.0;0.0;6.67;-32.88
164;-0.0;-0.0;0.0;0.0;6.67;-30.62
165;-0.0;-0.0;0.0;0.0;6.67;-30.02
166;-0.0;-0.0;0.0;0.0;6.67;-32.94
167;-0.0;-0.0;0.0;0.0;6.67;-33.18
168;25.54;-0.0;-23.14;-2.41;-6.75;-6.33
169;25.54;-0.0;-23.14;-2.41;-6.75;-3.94
170;25.54;-0.0;-23.14;-2.41;-6.75;-1.01
171;25.54;-0.0;-23.14;-2.41;-6.75;-3.1
172;25.54;-0.0;-23.14;-2.41;-6.75;-2.15
173;25.54;-0.0;-23.14;-2.41;-3.42;-0.24
174;23.75;-0.0;-21.52;-2.24;-2.48;-0.0
175;22.74;-0.0;-20.6;-2.14;-1.95;-0.0
176;22.68;-0.0;-20.54;-2.14;-1.92;-0.0
177;20.71;-0.0;-18.76;-1.95;-0.88;-0.0
178;21.6;-0.0;-19.57;-2.03;-1.35;-0.0
179;22.08;-0.0;-20.0;-2.08;-1.6;-0.0
180;22.44;-0.0;-20.33;-2.11;-1.79;-0.0
181;22.08;-0.0;-20.0;-2.08;-1.6;-0.0
182;23.1;-0.0;-20.92;-2.18;-2.13;-0.0
183;25.54;-0.0;-23.14;-2.41;-3.42;-0.84
184;25.54;-0.0;-23.14;-2.41;-3.42;-3.16
185;25.54;-0.0;-23.14;-2.41;-3.42;-2.39
186;25.54;-0.0;-23.14;-2.41;-3.42;-1.49
187;25.54;-0.0;-23.14;-2.41;-6.75;-0.12
188;25.54;-0.0;-23.14;-2.41;-6.75;-0.84
189;25.54;-0.0;-23.14;-2.41;-6.75;-2.33
190;25.54;-0.0;-23.14;-2.41;-6.75;-0.95
191;23.87;-0.0;-21.62;-2.25;-5.88;-0.0
192;21.54;-0.0;-19.52;-2.03;-4.65;-0.0
193;20.05;-0.0;-18.16;-1.89;-3.87;-0.0
194;19.52;-0.0;-17.68;-1.84;-3.59;-0.0
195;17.25;-0.0;-15.62;-1.62;-2.4;-0.0
196;17.84;-0.0;-16.16;-1.68;-2.71;-0.0
197;22.26;-0.0;-20.16;-2.1;-1.7;-0.0
198;25.54;-0.0;-23.14;-2.41;-3.42;-2.03
199;25.54;-0.0;-23.14;-2.41;-3.42;-1.13
200;22.02;-0.0;-19.95;-2.07;-1.57;-0.0
201;17.55;-0.0;-15.89;-1.65;0.78;-0.0
202;20.41;-0.0;-18.49;-1.92;-0.72;-0.0
203;25.48;-0.0;-23.08;-2.4;-3.39;-0.0
204;24.59;-0.0;-22.27;-2.32;-2.92;-0.0
205;23.04;-0.0;-20.87;-2.17;-2.1;-0.0
206;22.08;-0.0;-20.0;-2.08;-1.6;-0.0
207;21.6;-0.0;-19.57;-2.03;-1.35;-0.0
208;20.47;-0.0;-18.54;-1.93;-0.76;-0.0
209;21.31;-0.0;-19.3;-2.01;-1.19;-0.0
210;19.46;-0.0;-17.62;-1.83;-0.22;-0.0
211;19.4;-0.0;-17.57;-1.83;-3.52;-0.0
212;21.6;-0.0;-19.57;-2.03;-4.68;-0.0
213;24.29;-0.0;-22.0;-2.29;-6.09;-0.0
214;24.83;-0.0;-22.49;-2.34;-6.38;-0.0
215;24.47;-0.0;-22.16;-2.3;-6.19;-0.0
216;22.32;-0.0;-20.22;-2.1;-5.06;-0.0
217;21.19;-0.0;-19.19;-2.0;-4.46;-0.0
218;20.35;-0.0;-18.43;-1.92;-4.03;-0.0
219;21.66;-0.0;-19.62;-2.04;-4.72;-0.0
220;21.96;-0.0;-19.89;-2.07;-4.87;-0.0
221;23.16;-0.0;-20.97;-2.18;-2.17;-0.0
222;22.8;-0.0;-20.65;-2.15;-1.98;-0.0
223;22.86;-0.0;-20.7;-2.15;-2.01;-0.0
224;23.22;-0.0;-21.03;-2.19;-2.2;-0.0
225;20.47;-0.0;-18.54;-1.93;-0.76;-0.0
226;19.34;-0.0;-17.51;-1.82;-0.16;-0.0
227;19.81;-0.0;-17.95;-1.87;-0.41;-0.0
228;19.81;-0.0;-17.95;-1.87;-0.41;-0.0
229;19.46;-0.0;-17.62;-1.83;-0.22;-0.0
230;21.96;-0.0;-19.89;-2.07;-1.54;-0.0
231;24.53;-0.0;-22.22;-2.31;-2.89;-0.0
232;25.42;-0.0;-23.03;-2.39;-3.36;-0.0
233;25.54;-0.0;-23.14;-2.41;-3.42;-2.51
234;25.54;-0.0;-23.14;-2.41;-3.42;-4.71
235;25.54;-0.0;-23.14;-2.41;-6.75;-7.82
236;25.54;-0.0;-23.14;-2.41;-6.75;-17.31
237;25.54;-0.0;-23.14;-2.41;-6.75;-19.46
238;25.54;-0.0;-23.14;-2.41;-6.75;-20.53
239;25.54;-0.0;-23.14;-2.41;-6.75;-18.02
240;25.54;-0.0;-23.14;-2.41;-6.75;-17.67
241;25.54;-0.0;-23.14;-2.41;-6.75;-18.32
242;25.54;-0.0;-23.14;-2.41;-6.75;-19.93
243;25.54;-0.0;-23.14;-2.41;-6.75;-21.37
244;25.54;-0.0;-23.14;-2.41;-6.75;-19.87
245;25.54;-0.0;-23.14;-2.41;-3.42;-18.56
246;25.54;-0.0;-23.14;-2.41;-3.42;-13.91
247;25.54;-0.0;-23.14;-2.41;-3.42;-8.36
248;25.54;-0.0;-23.14;-2.41;-3.42;-4.18
249;22.86;-0.0;-20.7;-2.15;-2.01;-0.0
250;22.14;-0.0;-20.06;-2.09;-1.63;-0.0
251;23.33;-0.0;-21.14;-2.2;-2.26;-0.0
252;24.53;-0.0;-22.22;-2.31;-2.89;-0.0
253;24.23;-0.0;-21.95;-2.28;-2.73;-0.0
254;25.18;-0.0;-22.81;-2.37;-3.23;-0.0
255;25.54;-0.0;-23.14;-2.41;-3.42;-2.09
256;25.54;-0.0;-23.14;-2.41;-3.42;-4.18
257;25.54;-0.0;-23.14;-2.41;-3.42;-5.31
258;25.54;-0.0;-23.14;-2.41;-3.42;-7.04
259;25.54;-0.0;-23.14;-2.41;-6.75;-9.73
260;25.54;-0.0;-23.14;-2.41;-6.75;-13.19
261;25.54;-0.0;-23.14;-2.41;-6.75;-16.05
262;25.54;-0.0;-23.14;-2.41;-6.75;-18.56
263;25.54;-0.0;-23.14;-2.41;-6.75;-21.01
264;25.54;-0.0;-23.14;-2.41;-6.75;-23.39
265;25.54;-0.0;-23.14;-2.41;-6.75;-21.48
266;25.54;-0.0;-23.14;-2.41;-6.75;-18.62
267;25.54;-0.0;-23.14;-2.41;-6.75;-18.44
268;25.54;-0.0;-23.14;-2.41;-6.75;-18.2
269;25.54;-0.0;-23.14;-2.41;-3.42;-22.68
270;25.54;-0.0;-23.14;-2.41;-3.42;-27.33
271;25.54;-0.0;-23.14;-2.41;-3.42;-30.02
272;25.54;-0.0;-23.14;-2.41;-3.42;-31.39
273;25.54;-0.0;-23.14;-2.41;-3.42;-30.91
274;25.54;-0.0;-23.14;-2.41;-3.42;-29.42
275;25.54;-0.0;-23.14;-2.41;-3.42;-25.66
276;25.54;-0.0;-23.14;-2.41;-3.42;-25.01
277;25.54;-0.0;-23.14;-2.41;-3.42;-23.75
278;25.54;-0.0;-23.14;-2.41;-3.42;-21.6
279;25.54;-0.0;-23.14;-2.41;-3.42;-20.71
280;25.54;-0.0;-23.14;-2.41;-3.42;-21.48
281;25.54;-0.0;-23.14;-2.41;-3.42;-22.98
282;25.54;-0.0;-23.14;-2.41;-3.42;-25.13
283;25.54;-0.0;-23.14;-2.41;-6.75;-27.39
284;25.54;-0.0;-23.14;-2.41;-6.75;-27.81
285;25.54;-0.0;-23.14;-2.41;-6.75;-25.6
286;25.54;-0.0;-23.14;-2.41;-6.75;-22.92
287;25.54;-0.0;-23.14;-2.41;-6.75;-20.17
288;25.54;-0.0;-23.14;-2.41;-6.75;-17.96
289;25.54;-0.0;-23.14;-2.41;-6.75;-17.43
290;25.54;-0.0;-23.14;-2.41;-6.75;-17.13
291;25.54;-0.0;-23.14;-2.41;-6.75;-16.71
292;25.54;-0.0;-23.14;-2.41;-6.75;-16.41
293;25.54;-0.0;-23.14;-2.41;-3.42;-16.95
294;25.54;-0.0;-23.14;-2.41;-3.42;-18.44
295;25.54;-0.0;-23.14;-2.41;-3.42;-20.83
296;25.54;-0.0;-23.14;-2.41;-3.42;-22.92
297;25.54;-0.0;-23.14;-2.41;-3.42;-24.59
298;25.54;-0.0;-23.14;-2.41;-3.42;-26.98
299;25.54;-0.0;-23.14;-2.41;-3.42;-28.05
300;25.54;-0.0;-23.14;-2.41;-3.42;-27.09
301;25.54;-0.0;-23.14;-2.41;-3.42;-25.6
302;25.54;-0.0;-23.14;-2.41;-3.42;-24.53
303;25.54;-0.0;-23.14;-2.41;-3.42;-24.65
304;25.54;-0.0;-23.14;-2.41;-3.42;-25.07
305;25.54;-0.0;-23.14;-2.41;-3.42;-24.89
306;25.54;-0.0;-23.14;-2.41;-3.42;-24.11
307;25.54;-0.0;-23.14;-2.41;-6.75;-22.92
308;25.54;-0.0;-23.14;-2.41;-6.75;-21.07
309;25.54;-0.0;-23.14;-2.41;-6.75;-19.75
310;25.54;-0.0;-23.14;-2.41;-6.75;-18.02
311;25.54;-0.0;-23.14;-2.41;-6.75;-15.58
312;25.54;-0.0;-23.14;-2.41;-6.75;-12.29
313;25.54;-0.0;-23.14;-2.41;-6.75;-10.21
314;25.54;-0.0;-23.14;-2.41;-6.75;-9.07
315;25.54;-0.0;-23.14;-2.41;-6.75;-8.12
316;25.54;-0.0;-23.14;-2.41;-6.75;-4.66
317;25.54;-0.0;-23.14;-2.41;-3.42;-2.86
318;25.54;-0.0;-23.14;-2.41;-3.42;-0.12
319;25.54;-0.0;-23.14;-2.41;-3.42;-0.0
320;25.54;-0.0;-23.14;-2.41;-3.42;-0.48
321;25.54;-0.0;-23.14;-2.41;-3.42;-3.16
322;25.54;-0.0;-23.14;-2.41;-3.42;-7.88
323;25.54;-0.0;-23.14;-2.41;-3.42;-13.13
324;25.54;-0.0;-23.14;-2.41;-3.42;-18.44
325;25.54;-0.0;-23.14;-2.41;-3.42;-25.84
326;25.54;-0.0;-23.14;-2.41;-3.42;-28.17
327;25.54;-0.0;-23.14;-2.41;-3.42;-27.81
328;25.54;-0.0;-23.14;-2.41;-3.42;-27.45
329;25.54;-0.0;-23.14;-2.41;-3.42;-28.05
330;25.54;-0.0;-23.14;-2.41;-3.42;-28.11
331;-0.0;-0.0;0.0;0.0;6.67;-51.92
332;-0.0;-0.0;0.0;0.0;6.67;-50.01
333;-0.0;-0.0;0.0;0.0;6.67;-45.18
334;-0.0;-0.0;0.0;0.0;6.67;-41.72
335;-0.0;-0.0;0.0;0.0;6.67;-32.11
336;25.54;-0.0;-23.14;-2.41;-6.75;-0.78
337;25.54;-0.0;-23.14;-2.41;-6.75;-2.98
338;25.54;-0.0;-23.14;-2.41;-6.75;-7.88
339;25.54;-0.0;-23.14;-2.41;-6.75;-10.44
340;25.54;-0.0;-23.14;-2.41;-6.75;-12.0
341;25.54;-0.0;-23.14;-2.41;-3.42;-13.61
342;25.54;-0.0;-23.14;-2.41;-3.42;-15.16
343;25.54;-0.0;-23.14;-2.41;-3.42;-16.47
344;25.54;-0.0;-23.14;-2.41;-3.42;-18.62
345;25.54;-0.0;-23.14;-2.41;-3.42;-23.81
346;25.54;-0.0;-23.14;-2.41;-3.42;-27.75
347;25.54;-0.0;-23.14;-2.41;-3.42;-30.26
348;25.54;-0.0;-23.14;-2.41;-3.42;-31.21
349;25.54;-0.0;-23.14;-2.41;-3.42;-31.33
350;25.54;-0.0;-23.14;-2.41;-3.42;-30.97
351;25.54;-0.0;-23.14;-2.41;-3.42;-30.2
352;25.54;-0.0;-23.14;-2.41;-3.42;-29.06
353;25.54;-0.0;-23.14;-2.41;-3.42;-27.21
354;25.54;-0.0;-23.14;-2.41;-3.42;-23.81
355;25.54;-0.0;-23.14;-2.41;-6.75;-19.22
356;25.54;-0.0;-23.14;-2.41;-6.75;-14.32
357;25.54;-0.0;-23.14;-2.41;-6.75;-9.67
358;25.54;-0.0;-23.14;-2.41;-6.75;-4.66
359;25.54;-0.0;-23.14;-2.41;-6.75;-1.73
360;24.89;-0.0;-22.54;-2.34;-6.41;-0.0
361;23.57;-0.0;-21.35;-2.22;-5.72;-0.0
362;22.68;-0.0;-20.54;-2.14;-5.25;-0.0
363;23.16;-0.0;-20.97;-2.18;-5.5;-0.0
364;21.9;-0.0;-19.84;-2.06;-4.84;-0.0
365;21.96;-0.0;-19.89;-2.07;-1.54;-0.0
366;21.78;-0.0;-19.73;-2.05;-1.45;-0.0
367;21.07;-0.0;-19.08;-1.98;-1.07;-0.0
368;20.89;-0.0;-18.92;-1.97;-0.97;-0.0
369;22.08;-0.0;-20.0;-2.08;-1.6;-0.0
370;25.42;-0.0;-23.03;-2.39;-3.36;-0.0
371;25.54;-0.0;-23.14;-2.41;-3.42;-3.94
372;25.54;-0.0;-23.14;-2.41;-3.42;-8.71
373;25.54;-0.0;-23.14;-2.41;-3.42;-13.43
374;25.54;-0.0;-23.14;-2.41;-3.42;-15.16
375;25.54;-0.0;-23.14;-2.41;-3.42;-13.61
376;25.54;-0.0;-23.14;-2.41;-3.42;-10.56
377;25.54;-0.0;-23.14;-2.41;-3.42;-8.24
378;25.54;-0.0;-23.14;-2.41;-3.42;-5.43
379;24.29;-0.0;-22.0;-2.29;-6.09;-0.0
380;18.38;-0.0;-16.65;-1.73;-2.99;-0.0
381;13.55;-0.0;-12.27;-1.28;-0.45;-0.0
382;13.79;-0.0;-12.49;-1.3;-0.58;-0.0
383;19.63;-0.0;-17.79;-1.85;-3.65;-0.0
384;25.54;-0.0;-23.14;-2.41;-6.75;-1.55
385;25.54;-0.0;-23.14;-2.41;-6.75;-7.94
386;25.54;-0.0;-23.14;-2.41;-6.75;-15.22
387;25.54;-0.0;-23.14;-2.41;-6.75;-19.28
388;25.54;-0.0;-23.14;-2.41;-6.75;-19.22
389;25.54;-0.0;-23.14;-2.41;-3.42;-14.2
390;25.54;-0.0;-23.14;-2.41;-3.42;-9.49
391;25.54;-0.0;-23.14;-2.41;-3.42;-5.85
392;25.54;-0.0;-23.14;-2.41;-3.42;-2.21
393;23.16;-0.0;-20.97;-2.18;-2.17;-0.0
394;22.38;-0.0;-20.27;-2.11;-1.76;-0.0
395;20.89;-0.0;-18.92;-1.97;-0.97;-0.0
396;18.38;-0.0;-16.65;-1.73;0.34;-0.0
397;15.64;-0.0;-14.16;-1.47;1.78;-0.0
398;13.13;-0.0;-11.89;-1.24;3.1;-0.0
399;14.08;-0.0;-12.76;-1.33;2.6;-0.0
400;15.4;-0.0;-13.95;-1.45;1.91;-0.0
401;15.34;-0.0;-13.89;-1.44;1.94;-0.0
402;14.86;-0.0;-13.46;-1.4;2.19;-0.0
403;13.91;-0.0;-12.6;-1.31;-0.64;-0.0
404;12.95;-0.0;-11.73;-1.22;-0.14;-0.0
405;12.06;-0.0;-10.92;-1.14;0.33;-0.0
406;11.64;-0.0;-10.54;-1.1;0.55;-0.0
407;11.46;-0.0;-10.38;-1.08;0.65;-0.0
408;10.92;-0.0;-9.89;-1.03;0.93;-0.0
409;10.26;-0.0;-9.3;-0.97;1.27;-0.0
410;10.03;-0.0;-9.08;-0.94;1.4;-0.0
411;9.85;-0.0;-8.92;-0.93;1.49;-0.0
412;9.61;-0.0;-8.7;-0.91;1.62;-0.0
413;9.25;-0.0;-8.38;-0.87;5.14;-0.0
414;9.37;-0.0;-8.49;-0.88;5.08;-0.0
415;10.09;-0.0;-9.14;-0.95;4.7;-0.0
416;8.59;-0.0;-7.78;-0.81;5.48;-0.0
417;5.97;-0.0;-5.41;-0.56;6.86;-0.0
418;5.55;0.13;-5.14;-0.53;7.02;-0.0
419;10.44;-0.0;-9.46;-0.98;4.51;-0.0
420;13.96;-0.0;-12.65;-1.32;2.66;-0.0
421;12.65;-0.0;-11.46;-1.19;3.35;-0.0
422;14.62;-0.0;-13.24;-1.38;2.32;-0.0
423;20.77;-0.0;-18.81;-1.96;-0.91;-0.0
424;25.54;-0.0;-23.14;-2.41;-3.42;-0.48
425;25.54;-0.0;-23.14;-2.41;-3.42;-2.45
426;25.54;-0.0;-23.14;-2.41;-3.42;-3.16
427;25.54;-0.0;-23.14;-2.41;-6.75;-3.82
428;25.54;-0.0;-23.14;-2.41;-6.75;-5.07
429;25.54;-0.0;-23.14;-2.41;-6.75;-6.45
430;25.54;-0.0;-23.14;-2.41;-6.75;-7.88
431;25.54;-0.0;-23.14;-2.41;-6.75;-7.88
432;25.54;-0.0;-23.14;-2.41;-6.75;-9.91
433;25.54;-0.0;-23.14;-2.41;-6.75;-10.86
434;25.54;-0.0;-23.14;-2.41;-6.75;-10.56
435;25.54;-0.0;-23.14;-2.41;-6.75;-10.32
436;25.54;-0.0;-23.14;-2.41;-6.75;-9.07
437;25.54;-0.0;-23.14;-2.41;-3.42;-9.07
438;25.54;-0.0;-23.14;-2.41;-3.42;-5.13
439;25.54;-0.0;-23.14;-2.41;-3.42;-2.63
440;25.36;-0.0;-22.97;-2.39;-3.33;-0.0
441;20.71;-0.0;-18.76;-1.95;-0.88;-0.0
442;18.56;-0.0;-16.81;-1.75;0.25;-0.0
443;17.55;-0.0;-15.89;-1.65;0.78;-0.0
444;16.29;-0.0;-14.76;-1.53;1.44;-0.0
445;15.93;-0.0;-14.43;-1.5;1.63;-0.0
446;16.59;-0.0;-15.03;-1.56;1.28;-0.0
447;20.29;-0.0;-18.38;-1.91;-0.66;-0.0
448;21.6;-0.0;-19.57;-2.03;-1.35;-0.0
449;20.83;-0.0;-18.87;-1.96;-0.94;-0.0
450;18.62;-0.0;-16.87;-1.75;0.22;-0.0
451;15.82;-0.0;-14.33;-1.49;-1.64;-0.0
