;on_wind;PEM input;battery_storage;Compressor;hydrogen_storage;Curtailment
151;23.86;-21.61;0.0;-2.25;-2.53;-7.38
152;23.86;-21.61;0.0;-2.25;-2.53;-5.57
153;23.86;-21.61;0.0;-2.25;-2.53;-2.71
154;23.86;-21.61;0.0;-2.25;-2.53;-1.31
155;23.86;-21.61;0.0;-2.25;-2.53;-0.25
156;23.86;-21.61;0.0;-2.25;-2.53;-2.05
157;23.86;-21.61;0.0;-2.25;-2.53;-7.46
158;23.86;-21.61;0.0;-2.25;-2.53;-11.56
159;23.86;-21.61;0.0;-2.25;-2.53;-15.82
160;23.86;-21.61;0.0;-2.25;-2.53;-19.18
161;23.86;-21.61;0.0;-2.25;-2.53;-19.27
162;23.86;-21.61;0.0;-2.25;-2.53;-20.74
163;-0.0;0.0;0.0;0.0;6.67;-45.17
164;-0.0;0.0;0.0;0.0;6.67;-42.06
165;-0.0;0.0;0.0;0.0;6.67;-41.24
166;-0.0;0.0;0.0;0.0;6.67;-45.25
167;-0.0;0.0;0.0;0.0;6.67;-45.58
168;23.86;-21.61;0.0;-2.25;-5.87;-19.92
169;23.86;-21.61;0.0;-2.25;-5.87;-16.64
170;23.86;-21.61;0.0;-2.25;-5.87;-12.63
171;23.86;-21.61;0.0;-2.25;-5.87;-15.49
172;23.86;-21.61;0.0;-2.25;-5.87;-14.18
173;23.86;-21.61;0.0;-2.25;-2.53;-11.56
174;23.86;-21.61;0.0;-2.25;-2.53;-8.77
175;23.86;-21.61;0.0;-2.25;-2.53;-7.38
176;23.86;-21.61;0.0;-2.25;-2.53;-7.3
177;23.86;-21.61;0.0;-2.25;-2.53;-4.59
178;23.86;-21.61;0.0;-2.25;-2.53;-5.82
179;23.86;-21.61;0.0;-2.25;-2.53;-6.48
180;23.86;-21.61;0.0;-2.25;-2.53;-6.97
181;23.86;-21.61;0.0;-2.25;-2.53;-6.48
182;23.86;-21.61;0.0;-2.25;-2.53;-7.87
183;23.86;-21.61;0.0;-2.25;-2.53;-12.38
184;23.86;-21.61;0.0;-2.25;-2.53;-15.58
185;23.86;-21.61;0.0;-2.25;-2.53;-14.51
186;23.86;-21.61;0.0;-2.25;-2.53;-13.28
187;23.86;-21.61;0.0;-2.25;-5.87;-11.4
188;23.86;-21.61;0.0;-2.25;-5.87;-12.38
189;23.86;-21.61;0.0;-2.25;-5.87;-14.43
190;23.86;-21.61;0.0;-2.25;-5.87;-12.54
191;23.86;-21.61;0.0;-2.25;-5.87;-8.94
192;23.86;-21.61;0.0;-2.25;-5.87;-5.74
193;24.02;-21.61;-0.16;-2.25;-5.87;-3.53
194;23.86;-21.61;0.0;-2.25;-5.87;-2.95
195;23.69;-21.61;0.16;-2.25;-5.87;-0.0
196;23.86;-21.61;0.0;-2.25;-5.87;-0.66
197;23.86;-21.61;0.0;-2.25;-2.53;-6.72
198;23.86;-21.61;0.0;-2.25;-2.53;-14.02
199;23.86;-21.61;0.0;-2.25;-2.53;-12.79
200;23.86;-21.61;0.0;-2.25;-2.53;-6.39
201;23.86;-21.61;0.0;-2.25;-2.53;-0.25
202;23.86;-21.61;0.0;-2.25;-2.53;-4.18
203;23.86;-21.61;0.0;-2.25;-2.53;-11.15
204;23.86;-21.61;0.0;-2.25;-2.53;-9.92
205;23.86;-21.61;0.0;-2.25;-2.53;-7.79
206;23.86;-21.61;0.0;-2.25;-2.53;-6.48
207;23.86;-21.61;0.0;-2.25;-2.53;-5.82
208;23.86;-21.61;0.0;-2.25;-2.53;-4.26
209;23.86;-21.61;0.0;-2.25;-2.53;-5.41
210;23.86;-21.61;0.0;-2.25;-2.53;-2.87
211;23.86;-21.61;0.0;-2.25;-5.87;-2.79
212;23.86;-21.61;0.0;-2.25;-5.87;-5.82
213;23.86;-21.61;0.0;-2.25;-5.87;-9.51
214;23.86;-21.61;0.0;-2.25;-5.87;-10.25
215;23.86;-21.61;0.0;-2.25;-5.87;-9.76
216;23.86;-21.61;0.0;-2.25;-5.87;-6.8
217;23.86;-21.61;0.0;-2.25;-5.87;-5.25
218;23.86;-21.61;0.0;-2.25;-5.87;-4.1
219;23.86;-21.61;0.0;-2.25;-5.87;-5.9
220;23.86;-21.61;0.0;-2.25;-5.87;-6.31
221;23.86;-21.61;0.0;-2.25;-2.53;-7.95
222;23.86;-21.61;0.0;-2.25;-2.53;-7.46
223;23.86;-21.61;0.0;-2.25;-2.53;-7.54
224;23.86;-21.61;0.0;-2.25;-2.53;-8.03
225;23.86;-21.61;0.0;-2.25;-2.53;-4.26
226;23.86;-21.61;0.0;-2.25;-2.53;-2.71
227;23.86;-21.61;0.0;-2.25;-2.53;-3.36
228;23.86;-21.61;0.0;-2.25;-2.53;-3.36
229;23.86;-21.61;0.0;-2.25;-2.53;-2.87
230;23.86;-21.61;0.0;-2.25;-2.53;-6.31
231;23.86;-21.61;0.0;-2.25;-2.53;-9.84
232;23.86;-21.61;0.0;-2.25;-2.53;-11.07
233;23.86;-21.61;0.0;-2.25;-2.53;-14.68
234;23.86;-21.61;0.0;-2.25;-2.53;-17.71
235;23.86;-21.61;0.0;-2.25;-5.87;-21.97
236;23.86;-21.61;0.0;-2.25;-5.87;-35.01
237;23.86;-21.61;0.0;-2.25;-5.87;-37.96
238;23.86;-21.61;0.0;-2.25;-5.87;-39.43
239;23.86;-21.61;0.0;-2.25;-5.87;-35.99
240;23.86;-21.61;0.0;-2.25;-5.87;-35.5
241;23.86;-21.61;0.0;-2.25;-5.87;-36.4
242;23.86;-21.61;0.0;-2.25;-5.87;-38.61
243;23.86;-21.61;0.0;-2.25;-5.87;-40.58
244;23.86;-21.61;0.0;-2.25;-5.87;-38.53
245;23.86;-21.61;0.0;-2.25;-2.53;-36.73
246;23.86;-21.61;0.0;-2.25;-2.53;-30.33
247;23.86;-21.61;0.0;-2.25;-2.53;-22.71
248;23.86;-21.61;0.0;-2.25;-2.53;-16.97
249;23.86;-21.61;0.0;-2.25;-2.53;-7.54
250;23.86;-21.61;0.0;-2.25;-2.53;-6.56
251;23.86;-21.61;0.0;-2.25;-2.53;-8.2
252;23.86;-21.61;0.0;-2.25;-2.53;-9.84
253;23.86;-21.61;0.0;-2.25;-2.53;-9.43
254;23.86;-21.61;0.0;-2.25;-2.53;-10.74
255;23.86;-21.61;0.0;-2.25;-2.53;-14.1
256;23.86;-21.61;0.0;-2.25;-2.53;-16.97
257;23.86;-21.61;0.0;-2.25;-2.53;-18.53
258;23.86;-21.61;0.0;-2.25;-2.53;-20.91
259;23.86;-21.61;0.0;-2.25;-5.87;-24.6
260;23.86;-21.61;0.0;-2.25;-5.87;-29.35
261;23.86;-21.61;0.0;-2.25;-5.87;-33.29
262;23.86;-21.61;0.0;-2.25;-5.87;-36.73
263;23.86;-21.61;0.0;-2.25;-5.87;-40.09
264;23.86;-21.61;0.0;-2.25;-5.87;-43.37
265;23.86;-21.61;0.0;-2.25;-5.87;-40.75
266;23.86;-21.61;0.0;-2.25;-5.87;-36.81
267;23.86;-21.61;0.0;-2.25;-5.87;-36.56
268;23.86;-21.61;0.0;-2.25;-5.87;-36.24
269;23.86;-21.61;0.0;-2.25;-2.53;-42.39
270;23.86;-21.61;0.0;-2.25;-2.53;-48.78
271;23.86;-21.61;0.0;-2.25;-2.53;-52.47
272;23.86;-21.61;0.0;-2.25;-2.53;-54.36
273;23.86;-21.61;0.0;-2.25;-2.53;-53.7
274;23.86;-21.61;0.0;-2.25;-2.53;-51.65
275;23.86;-21.61;0.0;-2.25;-2.53;-46.48
276;23.86;-21.61;0.0;-2.25;-2.53;-45.58
277;23.86;-21.61;0.0;-2.25;-2.53;-43.86
278;23.86;-21.61;0.0;-2.25;-2.53;-40.91
279;23.86;-21.61;0.0;-2.25;-2.53;-39.68
280;23.86;-21.61;0.0;-2.25;-2.53;-40.75
281;23.86;-21.61;0.0;-2.25;-2.53;-42.8
282;23.86;-21.61;0.0;-2.25;-2.53;-45.75
283;23.86;-21.61;0.0;-2.25;-5.87;-48.86
284;23.86;-21.61;0.0;-2.25;-5.87;-49.44
285;23.86;-21.61;0.0;-2.25;-5.87;-46.4
286;23.86;-21.61;0.0;-2.25;-5.87;-42.71
287;23.86;-21.61;0.0;-2.25;-5.87;-38.94
288;23.86;-21.61;0.0;-2.25;-5.87;-35.91
289;23.86;-21.61;0.0;-2.25;-5.87;-35.17
290;23.86;-21.61;0.0;-2.25;-5.87;-34.76
291;23.86;-21.61;0.0;-2.25;-5.87;-34.19
292;23.86;-21.61;0.0;-2.25;-5.87;-33.78
293;23.86;-21.61;0.0;-2.25;-2.53;-34.52
294;23.86;-21.61;0.0;-2.25;-2.53;-36.56
295;23.86;-21.61;0.0;-2.25;-2.53;-39.84
296;23.86;-21.61;0.0;-2.25;-2.53;-42.71
297;23.86;-21.61;0.0;-2.25;-2.53;-45.01
298;23.86;-21.61;0.0;-2.25;-2.53;-48.29
299;23.86;-21.61;0.0;-2.25;-2.53;-49.76
300;23.86;-21.61;0.0;-2.25;-2.53;-48.45
301;23.86;-21.61;0.0;-2.25;-2.53;-46.4
302;23.86;-21.61;0.0;-2.25;-2.53;-44.93
303;23.86;-21.61;0.0;-2.25;-2.53;-45.09
304;23.86;-21.61;0.0;-2.25;-2.53;-45.66
305;23.86;-21.61;0.0;-2.25;-2.53;-45.42
306;23.86;-21.61;0.0;-2.25;-2.53;-44.35
307;23.86;-21.61;0.0;-2.25;-5.87;-42.71
308;23.86;-21.61;0.0;-2.25;-5.87;-40.17
309;23.86;-21.61;0.0;-2.25;-5.87;-38.37
310;23.86;-21.61;0.0;-2.25;-5.87;-35.99
311;23.86;-21.61;0.0;-2.25;-5.87;-32.63
312;23.86;-21.61;0.0;-2.25;-5.87;-28.12
313;23.86;-21.61;0.0;-2.25;-5.87;-25.25
314;23.86;-21.61;0.0;-2.25;-5.87;-23.69
315;23.86;-21.61;0.0;-2.25;-5.87;-22.38
316;23.86;-21.61;0.0;-2.25;-5.87;-17.63
317;23.86;-21.61;0.0;-2.25;-2.53;-15.17
318;23.86;-21.61;0.0;-2.25;-2.53;-11.4
319;23.86;-21.61;0.0;-2.25;-2.53;-11.23
320;23.86;-21.61;0.0;-2.25;-2.53;-11.89
321;23.86;-21.61;0.0;-2.25;-2.53;-15.58
322;23.86;-21.61;0.0;-2.25;-2.53;-22.05
323;23.86;-21.61;0.0;-2.25;-2.53;-29.27
324;23.86;-21.61;0.0;-2.25;-2.53;-36.56
325;23.86;-21.61;0.0;-2.25;-2.53;-46.73
326;23.86;-21.61;0.0;-2.25;-2.53;-49.93
327;23.86;-21.61;0.0;-2.25;-2.53;-49.44
328;23.86;-21.61;0.0;-2.25;-2.53;-48.94
329;23.86;-21.61;0.0;-2.25;-2.53;-49.76
330;23.86;-21.61;0.0;-2.25;-2.53;-49.85
331;-0.0;0.0;0.0;0.0;6.67;-71.33
332;-0.0;0.0;0.0;0.0;6.67;-68.7
333;-0.0;0.0;0.0;0.0;6.67;-62.06
334;-0.0;0.0;0.0;0.0;6.67;-57.31
335;-0.0;0.0;0.0;0.0;6.67;-44.11
336;23.86;-21.61;0.0;-2.25;-5.87;-12.3
337;23.86;-21.61;0.0;-2.25;-5.87;-15.33
338;23.86;-21.61;0.0;-2.25;-5.87;-22.05
339;23.86;-21.61;0.0;-2.25;-5.87;-25.58
340;23.86;-21.61;0.0;-2.25;-5.87;-27.71
341;23.86;-21.61;0.0;-2.25;-2.53;-29.92
342;23.86;-21.61;0.0;-2.25;-2.53;-32.06
343;23.86;-21.61;0.0;-2.25;-2.53;-33.86
344;23.86;-21.61;0.0;-2.25;-2.53;-36.81
345;23.86;-21.61;0.0;-2.25;-2.53;-43.94
346;23.86;-21.61;0.0;-2.25;-2.53;-49.35
347;23.86;-21.61;0.0;-2.25;-2.53;-52.8
348;23.86;-21.61;0.0;-2.25;-2.53;-54.11
349;23.86;-21.61;0.0;-2.25;-2.53;-54.27
350;23.86;-21.61;0.0;-2.25;-2.53;-53.78
351;23.86;-21.61;0.0;-2.25;-2.53;-52.72
352;23.86;-21.61;0.0;-2.25;-2.53;-51.16
353;23.86;-21.61;0.0;-2.25;-2.53;-48.62
354;23.86;-21.61;0.0;-2.25;-2.53;-43.94
355;23.86;-21.61;0.0;-2.25;-5.87;-37.63
356;23.86;-21.61;0.0;-2.25;-5.87;-30.91
357;23.86;-21.61;0.0;-2.25;-5.87;-24.51
358;23.86;-21.61;0.0;-2.25;-5.87;-17.63
359;23.86;-21.61;0.0;-2.25;-5.87;-13.61
360;23.86;-21.61;0.0;-2.25;-5.87;-10.33
361;23.86;-21.61;0.0;-2.25;-5.87;-8.53
362;23.86;-21.61;0.0;-2.25;-5.87;-7.3
363;23.86;-21.61;0.0;-2.25;-5.87;-7.95
364;23.86;-21.61;0.0;-2.25;-5.87;-6.23
365;23.86;-21.61;0.0;-2.25;-2.53;-6.31
366;23.86;-21.61;0.0;-2.25;-2.53;-6.07
367;23.86;-21.61;0.0;-2.25;-2.53;-5.08
368;23.86;-21.61;0.0;-2.25;-2.53;-4.84
369;23.86;-21.61;0.0;-2.25;-2.53;-6.48
370;23.86;-21.61;0.0;-2.25;-2.53;-11.07
371;23.86;-21.61;0.0;-2.25;-2.53;-16.64
372;23.86;-21.61;0.0;-2.25;-2.53;-23.2
373;23.86;-21.61;0.0;-2.25;-2.53;-29.68
374;23.86;-21.61;0.0;-2.25;-2.53;-32.06
375;23.86;-21.61;0.0;-2.25;-2.53;-29.92
376;34.02;-21.61;-10.17;-2.25;-2.53;-15.58
377;23.86;-21.61;0.0;-2.25;-2.53;-22.55
378;23.86;-21.61;0.0;-2.25;-2.53;-18.69
379;23.86;-21.61;0.0;-2.25;-5.87;-9.51
380;23.86;-21.61;0.0;-2.25;-5.87;-1.39
381;18.61;-21.61;5.25;-2.25;-5.87;-0.0
382;18.94;-21.61;4.92;-2.25;-5.87;-0.0
383;23.86;-21.61;0.0;-2.25;-5.87;-3.12
384;23.86;-21.61;0.0;-2.25;-5.87;-13.36
385;23.86;-21.61;0.0;-2.25;-5.87;-22.14
386;23.86;-21.61;0.0;-2.25;-5.87;-32.14
387;23.86;-21.61;0.0;-2.25;-5.87;-37.71
388;49.65;-21.61;-25.8;-2.25;-5.87;-11.83
389;54.6;-21.61;-30.74;-2.25;-2.53;-0.0
390;48.12;-21.61;-24.27;-2.25;-2.53;-0.0
391;43.12;-21.61;-19.27;-2.25;-2.53;-0.0
392;38.12;-21.61;-14.27;-2.25;-2.53;-0.0
393;31.81;-21.61;-7.95;-2.25;-2.53;-0.0
394;30.74;-21.61;-6.89;-2.25;-2.53;-0.0
395;28.69;-21.61;-4.84;-2.25;-2.53;-0.0
396;25.25;-21.61;-1.39;-2.25;-2.53;-0.0
397;21.48;-19.46;0.0;-2.02;-1.29;-0.0
398;18.04;-21.61;5.82;-2.25;-2.53;-0.0
399;19.35;-17.53;0.0;-1.82;-0.17;-0.0
400;21.15;-19.16;0.0;-1.99;-1.11;-0.0
401;21.07;-19.09;0.0;-1.98;-1.07;-0.0
402;20.41;-18.49;0.0;-1.92;-0.73;-0.0
403;19.1;-17.3;0.0;-1.8;-3.37;-0.0
404;17.79;-16.11;0.0;-1.68;-2.68;-0.0
405;16.56;-15.0;0.0;-1.56;-2.03;-0.0
406;15.99;-14.48;0.0;-1.51;-1.73;-0.0
407;15.74;-14.26;0.0;-1.48;-1.6;-0.0
408;15.0;-21.61;8.85;-2.25;-5.87;-0.0
409;14.1;-12.77;0.0;-1.33;-0.74;-0.0
410;13.77;-21.61;10.08;-2.25;-5.87;-0.0
411;13.53;-21.61;10.33;-2.25;-5.87;-0.0
412;13.2;-21.61;10.66;-2.25;-5.87;-0.0
413;12.71;-21.61;11.15;-2.25;-2.53;-0.0
414;12.87;-17.24;6.16;-1.79;0.0;-0.0
415;13.86;-21.61;10.0;-2.25;-2.53;-0.0
416;11.81;-21.61;12.05;-2.25;-2.53;-0.0
417;8.2;-21.61;15.66;-2.25;-2.53;-0.0
418;7.62;-21.61;16.23;-2.25;-2.53;-0.0
419;14.35;-21.61;9.51;-2.25;-2.53;-0.0
420;19.18;-21.61;4.67;-2.25;-2.53;-0.0
421;17.38;-19.57;4.22;-2.03;-1.35;-0.0
422;20.09;-18.19;0.0;-1.89;-0.55;-0.0
423;23.86;-21.61;0.0;-2.25;-2.53;-4.67
424;23.86;-21.61;0.0;-2.25;-2.53;-11.89
425;23.86;-21.61;0.0;-2.25;-2.53;-14.59
426;23.86;-21.61;0.0;-2.25;-2.53;-15.58
427;23.86;-21.61;0.0;-2.25;-5.87;-16.48
428;23.86;-21.61;0.0;-2.25;-5.87;-18.2
429;23.86;-21.61;0.0;-2.25;-5.87;-20.09
430;23.86;-21.61;0.0;-2.25;-5.87;-22.05
431;23.86;-21.61;0.0;-2.25;-5.87;-22.05
432;23.86;-21.61;0.0;-2.25;-5.87;-24.84
433;23.86;-21.61;0.0;-2.25;-5.87;-26.15
434;49.6;-21.61;-25.74;-2.25;-5.87;-0.0
435;23.86;-21.61;0.0;-2.25;-5.87;-25.41
436;47.44;-21.61;-23.58;-2.25;-5.87;-0.11
437;47.55;-21.61;-23.69;-2.25;-2.53;-0.0
438;42.14;-21.61;-18.28;-2.25;-2.53;-0.0
439;38.7;-21.61;-14.84;-2.25;-2.53;-0.0
440;34.84;-21.61;-10.99;-2.25;-2.53;-0.0
441;28.45;-21.61;-4.59;-2.25;-2.53;-0.0
442;25.5;-21.61;-1.64;-2.25;-2.53;-0.0
443;24.1;-21.61;-0.25;-2.25;-2.53;-0.0
444;22.38;-21.61;1.48;-2.25;-2.53;-0.0
445;21.89;-21.61;1.97;-2.25;-2.53;-0.0
446;22.79;-21.61;1.07;-2.25;-2.53;-0.0
447;27.87;-21.61;-4.02;-2.25;-2.53;-0.0
448;29.68;-21.61;-5.82;-2.25;-2.53;-0.0
449;28.61;-21.61;-4.76;-2.25;-2.53;-0.0
450;25.58;-21.61;-1.72;-2.25;-2.53;-0.0
451;21.73;-19.68;0.0;-2.05;-4.75;-0.0
452;19.18;-17.38;0.0;-1.81;-3.41;-0.0
453;18.28;-16.56;0.0;-1.72;-2.94;-0.0
454;16.97;-15.37;0.0;-1.6;-2.25;-0.0
455;15.9;-14.41;0.0;-1.5;-1.69;-0.0
456;14.68;-13.29;0.0;-1.38;-1.04;-0.0
457;13.04;-11.81;0.0;-1.23;-0.18;-0.0
458;13.45;-12.18;0.0;-1.27;-0.4;-0.0
459;12.71;-11.51;0.0;-1.2;-0.01;-0.0
460;12.05;-10.92;0.0;-1.14;0.33;-0.0
461;11.48;-10.4;0.0;-1.08;3.97;-0.0
462;11.89;-10.77;0.0;-1.12;3.75;-0.0
